LGA_NAME16	EmploymentStatus	workers
Livingstone (S)	Employee	6758
Livingstone (S)	Owner managers of incorporated enterprises	615
Livingstone (S)	Owner managers of unincorporated enterprises	1056
Livingstone (S)	Status in employment not stated	110
Lockhart River (S)	Employee	182
Lockhart River (S)	Owner managers of incorporated enterprises	6
Lockhart River (S)	Owner managers of unincorporated enterprises	3
Lockyer Valley (R)	Contributing family workers	392
Lockyer Valley (R)	Employee	9037
Lockyer Valley (R)	Owner managers of incorporated enterprises	633
Lockyer Valley (R)	Owner managers of unincorporated enterprises	968
Lockyer Valley (R)	Status in employment not stated	169
Logan (C)	Contributing family workers	1452
Logan (C)	Employee	73646
Logan (C)	Owner managers of incorporated enterprises	6591
Logan (C)	Owner managers of unincorporated enterprises	6579
Logan (C)	Status in employment not stated	834
Longreach (R)	Contributing family workers	118
Longreach (R)	Employee	1463
Longreach (R)	Owner managers of incorporated enterprises	127
Longreach (R)	Owner managers of unincorporated enterprises	187
Longreach (R)	Status in employment not stated	27
Mackay (R)	Contributing family workers	964
Mackay (R)	Employee	38831
Mackay (R)	Owner managers of incorporated enterprises	2648
Mackay (R)	Owner managers of unincorporated enterprises	2753
Mackay (R)	Status in employment not stated	509
McKinlay (S)	Contributing family workers	55
McKinlay (S)	Employee	1023
McKinlay (S)	Owner managers of incorporated enterprises	55
McKinlay (S)	Owner managers of unincorporated enterprises	73
McKinlay (S)	Status in employment not stated	12
Mapoon (S)	Employee	79
Maranoa (R)	Contributing family workers	519
Maranoa (R)	Employee	5217
Maranoa (R)	Owner managers of incorporated enterprises	494
Maranoa (R)	Owner managers of unincorporated enterprises	705
Maranoa (R)	Status in employment not stated	114
Mareeba (S)	Contributing family workers	361
Mareeba (S)	Employee	5472
Mareeba (S)	Owner managers of incorporated enterprises	501
Mareeba (S)	Owner managers of unincorporated enterprises	907
Mareeba (S)	Status in employment not stated	135
Moreton Bay (R)	Contributing family workers	1988
Moreton Bay (R)	Employee	91925
Moreton Bay (R)	Owner managers of incorporated enterprises	8625
Moreton Bay (R)	Owner managers of unincorporated enterprises	9449
Moreton Bay (R)	Status in employment not stated	985
Mornington (S)	Employee	337
Mornington (S)	Owner managers of incorporated enterprises	9
Mornington (S)	Owner managers of unincorporated enterprises	5
Mornington (S)	Status in employment not stated	3
Mount Isa (C)	Contributing family workers	69
Mount Isa (C)	Employee	8517
Mount Isa (C)	Owner managers of incorporated enterprises	279
Mount Isa (C)	Owner managers of unincorporated enterprises	272
Mount Isa (C)	Status in employment not stated	86
Murweh (S)	Contributing family workers	138
Murweh (S)	Employee	1467
Murweh (S)	Owner managers of incorporated enterprises	112
Murweh (S)	Owner managers of unincorporated enterprises	237
Murweh (S)	Status in employment not stated	32
Napranum (S)	Contributing family workers	4
Napranum (S)	Employee	213
Napranum (S)	Owner managers of incorporated enterprises	3
Noosa (S)	Contributing family workers	530
Noosa (S)	Employee	14481
Noosa (S)	Owner managers of incorporated enterprises	2348
Noosa (S)	Owner managers of unincorporated enterprises	2565
Noosa (S)	Status in employment not stated	198
North Burnett (R)	Contributing family workers	444
North Burnett (R)	Employee	2979
North Burnett (R)	Owner managers of incorporated enterprises	256
North Burnett (R)	Owner managers of unincorporated enterprises	614
North Burnett (R)	Status in employment not stated	80
Northern Peninsula Area (R)	Contributing family workers	12
Northern Peninsula Area (R)	Employee	761
Northern Peninsula Area (R)	Owner managers of incorporated enterprises	21
Northern Peninsula Area (R)	Owner managers of unincorporated enterprises	24
Northern Peninsula Area (R)	Status in employment not stated	9
Palm Island (S)	Contributing family workers	3
Palm Island (S)	Employee	567
Palm Island (S)	Owner managers of incorporated enterprises	11
Palm Island (S)	Owner managers of unincorporated enterprises	4
Paroo (S)	Contributing family workers	91
Paroo (S)	Employee	458
Paroo (S)	Owner managers of incorporated enterprises	44
Paroo (S)	Owner managers of unincorporated enterprises	126
Paroo (S)	Status in employment not stated	14
Pormpuraaw (S)	Employee	197
Pormpuraaw (S)	Owner managers of incorporated enterprises	3
Pormpuraaw (S)	Owner managers of unincorporated enterprises	7
Quilpie (S)	Contributing family workers	48
Quilpie (S)	Employee	332
Quilpie (S)	Owner managers of incorporated enterprises	34
Quilpie (S)	Owner managers of unincorporated enterprises	53
Quilpie (S)	Status in employment not stated	10
Redland (C)	Contributing family workers	780
Redland (C)	Employee	32005
Redland (C)	Owner managers of incorporated enterprises	3917
Redland (C)	Owner managers of unincorporated enterprises	3511
Redland (C)	Status in employment not stated	362
Richmond (S)	Contributing family workers	26
Richmond (S)	Employee	604
Richmond (S)	Owner managers of incorporated enterprises	36
Richmond (S)	Owner managers of unincorporated enterprises	60
Richmond (S)	Status in employment not stated	7
Rockhampton (R)	Contributing family workers	523
Rockhampton (R)	Employee	32295
Rockhampton (R)	Owner managers of incorporated enterprises	1496
Rockhampton (R)	Owner managers of unincorporated enterprises	1937
Rockhampton (R)	Status in employment not stated	326
Scenic Rim (R)	Contributing family workers	590
Scenic Rim (R)	Employee	8959
Scenic Rim (R)	Owner managers of incorporated enterprises	1039
Scenic Rim (R)	Owner managers of unincorporated enterprises	1583
Scenic Rim (R)	Status in employment not stated	192
Somerset (R)	Contributing family workers	343
Somerset (R)	Employee	4485
Somerset (R)	Owner managers of incorporated enterprises	422
Somerset (R)	Owner managers of unincorporated enterprises	730
Somerset (R)	Status in employment not stated	114
South Burnett (R)	Contributing family workers	543
South Burnett (R)	Employee	8594
South Burnett (R)	Owner managers of incorporated enterprises	552
South Burnett (R)	Owner managers of unincorporated enterprises	1188
South Burnett (R)	Status in employment not stated	187
Southern Downs (R)	Contributing family workers	637
Southern Downs (R)	Employee	10149
Southern Downs (R)	Owner managers of incorporated enterprises	874
Southern Downs (R)	Owner managers of unincorporated enterprises	1441
Southern Downs (R)	Status in employment not stated	211
Sunshine Coast (R)	Contributing family workers	2366
Sunshine Coast (R)	Employee	86720
Sunshine Coast (R)	Owner managers of incorporated enterprises	9896
Sunshine Coast (R)	Owner managers of unincorporated enterprises	10837
Sunshine Coast (R)	Status in employment not stated	1033
Tablelands (R)	Contributing family workers	438
Tablelands (R)	Employee	6328
Tablelands (R)	Owner managers of incorporated enterprises	574
Tablelands (R)	Owner managers of unincorporated enterprises	1093
Tablelands (R)	Status in employment not stated	141
Toowoomba (R)	Contributing family workers	1711
Toowoomba (R)	Employee	58116
Toowoomba (R)	Owner managers of incorporated enterprises	4105
Toowoomba (R)	Owner managers of unincorporated enterprises	4765
Toowoomba (R)	Status in employment not stated	645
Torres (S)	Contributing family workers	10
Torres (S)	Employee	1343
Torres (S)	Owner managers of incorporated enterprises	56
Torres (S)	Owner managers of unincorporated enterprises	72
Torres (S)	Status in employment not stated	21
Torres Strait Island (R)	Employee	946
Torres Strait Island (R)	Owner managers of incorporated enterprises	20
Torres Strait Island (R)	Owner managers of unincorporated enterprises	31
Torres Strait Island (R)	Status in employment not stated	4
Townsville (C)	Contributing family workers	847
Townsville (C)	Employee	72237
Townsville (C)	Owner managers of incorporated enterprises	3722
Townsville (C)	Owner managers of unincorporated enterprises	4318
Townsville (C)	Status in employment not stated	586
Weipa (T)	Contributing family workers	4
Weipa (T)	Employee	1045
Weipa (T)	Owner managers of incorporated enterprises	52
Weipa (T)	Owner managers of unincorporated enterprises	42
Weipa (T)	Status in employment not stated	15
Western Downs (R)	Contributing family workers	873
Western Downs (R)	Employee	12592
Western Downs (R)	Owner managers of incorporated enterprises	966
Western Downs (R)	Owner managers of unincorporated enterprises	1576
Western Downs (R)	Status in employment not stated	233
Whitsunday (R)	Contributing family workers	414
Whitsunday (R)	Employee	12358
Whitsunday (R)	Owner managers of incorporated enterprises	975
Whitsunday (R)	Owner managers of unincorporated enterprises	1161
Whitsunday (R)	Status in employment not stated	203
Winton (S)	Contributing family workers	53
Winton (S)	Employee	403
Winton (S)	Owner managers of incorporated enterprises	43
Winton (S)	Owner managers of unincorporated enterprises	71
Winton (S)	Status in employment not stated	11
Woorabinda (S)	Employee	243
Woorabinda (S)	Owner managers of incorporated enterprises	10
Woorabinda (S)	Owner managers of unincorporated enterprises	7
Wujal Wujal (S)	Employee	97
Wujal Wujal (S)	Owner managers of unincorporated enterprises	3
Yarrabah (S)	Employee	437
Yarrabah (S)	Owner managers of incorporated enterprises	8
Yarrabah (S)	Status in employment not stated	3
No usual address (Qld)	Contributing family workers	1522
No usual address (Qld)	Employee	58038
No usual address (Qld)	Owner managers of incorporated enterprises	10356
No usual address (Qld)	Owner managers of unincorporated enterprises	27349
No usual address (Qld)	Status in employment not stated	1566
Migratory - Offshore - Shipping (Qld)	Contributing family workers	6
Migratory - Offshore - Shipping (Qld)	Employee	174
Migratory - Offshore - Shipping (Qld)	Owner managers of incorporated enterprises	12
Migratory - Offshore - Shipping (Qld)	Owner managers of unincorporated enterprises	15
Adelaide (C)	Contributing family workers	546
Adelaide (C)	Employee	109180
Adelaide (C)	Owner managers of incorporated enterprises	3744
Adelaide (C)	Owner managers of unincorporated enterprises	3343
Adelaide (C)	Status in employment not stated	792
Adelaide Hills (DC)	Contributing family workers	351
Adelaide Hills (DC)	Employee	6802
Adelaide Hills (DC)	Owner managers of incorporated enterprises	996
Adelaide Hills (DC)	Owner managers of unincorporated enterprises	1564
Adelaide Hills (DC)	Status in employment not stated	119
Alexandrina (DC)	Contributing family workers	308
Alexandrina (DC)	Employee	4548
Alexandrina (DC)	Owner managers of incorporated enterprises	503
Alexandrina (DC)	Owner managers of unincorporated enterprises	1076
Alexandrina (DC)	Status in employment not stated	104
Anangu Pitjantjatjara (AC)	Employee	603
Anangu Pitjantjatjara (AC)	Owner managers of incorporated enterprises	10
Anangu Pitjantjatjara (AC)	Owner managers of unincorporated enterprises	8
Anangu Pitjantjatjara (AC)	Status in employment not stated	3
Barossa (DC)	Contributing family workers	294
Barossa (DC)	Employee	8204
Barossa (DC)	Owner managers of incorporated enterprises	559
Barossa (DC)	Owner managers of unincorporated enterprises	922
Barossa (DC)	Status in employment not stated	125
Barunga West (DC)	Contributing family workers	56
Barunga West (DC)	Employee	397
Barunga West (DC)	Owner managers of incorporated enterprises	97
Barunga West (DC)	Owner managers of unincorporated enterprises	160
Barunga West (DC)	Status in employment not stated	18
Berri and Barmera (DC)	Contributing family workers	161
Berri and Barmera (DC)	Employee	3720
Berri and Barmera (DC)	Owner managers of incorporated enterprises	205
Berri and Barmera (DC)	Owner managers of unincorporated enterprises	388
Berri and Barmera (DC)	Status in employment not stated	62
Burnside (C)	Contributing family workers	260
Burnside (C)	Employee	13537
Burnside (C)	Owner managers of incorporated enterprises	1371
Burnside (C)	Owner managers of unincorporated enterprises	1454
Burnside (C)	Status in employment not stated	130
Campbelltown (C) (SA)	Contributing family workers	165
Campbelltown (C) (SA)	Employee	7387
Campbelltown (C) (SA)	Owner managers of incorporated enterprises	735
Campbelltown (C) (SA)	Owner managers of unincorporated enterprises	1116
Campbelltown (C) (SA)	Status in employment not stated	84
Ceduna (DC)	Contributing family workers	45
Ceduna (DC)	Employee	1224
Ceduna (DC)	Owner managers of incorporated enterprises	107
Ceduna (DC)	Owner managers of unincorporated enterprises	164
Ceduna (DC)	Status in employment not stated	37
Charles Sturt (C)	Contributing family workers	435
Charles Sturt (C)	Employee	33644
Charles Sturt (C)	Owner managers of incorporated enterprises	2444
Charles Sturt (C)	Owner managers of unincorporated enterprises	2967
Charles Sturt (C)	Status in employment not stated	388
Clare and Gilbert Valleys (DC)	Contributing family workers	196
Clare and Gilbert Valleys (DC)	Employee	2972
Clare and Gilbert Valleys (DC)	Owner managers of incorporated enterprises	339
Clare and Gilbert Valleys (DC)	Owner managers of unincorporated enterprises	531
Clare and Gilbert Valleys (DC)	Status in employment not stated	75
Cleve (DC)	Contributing family workers	87
Cleve (DC)	Employee	473
Cleve (DC)	Owner managers of incorporated enterprises	64
Cleve (DC)	Owner managers of unincorporated enterprises	199
Cleve (DC)	Status in employment not stated	18
Coober Pedy (DC)	Contributing family workers	23
Coober Pedy (DC)	Employee	542
Coober Pedy (DC)	Owner managers of incorporated enterprises	25
Coober Pedy (DC)	Owner managers of unincorporated enterprises	81
Coober Pedy (DC)	Status in employment not stated	13
Copper Coast (DC)	Contributing family workers	115
Copper Coast (DC)	Employee	3363
Copper Coast (DC)	Owner managers of incorporated enterprises	265
Copper Coast (DC)	Owner managers of unincorporated enterprises	519
Copper Coast (DC)	Status in employment not stated	102
Elliston (DC)	Contributing family workers	80
Elliston (DC)	Employee	228
Elliston (DC)	Owner managers of incorporated enterprises	39
Elliston (DC)	Owner managers of unincorporated enterprises	106
Elliston (DC)	Status in employment not stated	15
Flinders Ranges (DC)	Contributing family workers	38
Flinders Ranges (DC)	Employee	332
Flinders Ranges (DC)	Owner managers of incorporated enterprises	43
Flinders Ranges (DC)	Owner managers of unincorporated enterprises	80
Flinders Ranges (DC)	Status in employment not stated	7
Franklin Harbour (DC)	Contributing family workers	28
Franklin Harbour (DC)	Employee	286
Franklin Harbour (DC)	Owner managers of incorporated enterprises	34
Franklin Harbour (DC)	Owner managers of unincorporated enterprises	97
Franklin Harbour (DC)	Status in employment not stated	7
Gawler (T)	Contributing family workers	82
Gawler (T)	Employee	5395
Gawler (T)	Owner managers of incorporated enterprises	342
Gawler (T)	Owner managers of unincorporated enterprises	599
Gawler (T)	Status in employment not stated	69
Goyder (DC)	Contributing family workers	180
Goyder (DC)	Employee	780
Goyder (DC)	Owner managers of incorporated enterprises	85
Goyder (DC)	Owner managers of unincorporated enterprises	268
Goyder (DC)	Status in employment not stated	23
Grant (DC)	Contributing family workers	183
Grant (DC)	Employee	1472
Grant (DC)	Owner managers of incorporated enterprises	208
Grant (DC)	Owner managers of unincorporated enterprises	378
Grant (DC)	Status in employment not stated	28
Holdfast Bay (C)	Contributing family workers	208
Holdfast Bay (C)	Employee	9813
Holdfast Bay (C)	Owner managers of incorporated enterprises	995
Holdfast Bay (C)	Owner managers of unincorporated enterprises	1205
Holdfast Bay (C)	Status in employment not stated	125
Kangaroo Island (DC)	Contributing family workers	133
Kangaroo Island (DC)	Employee	1371
Kangaroo Island (DC)	Owner managers of incorporated enterprises	137
Kangaroo Island (DC)	Owner managers of unincorporated enterprises	385
Kangaroo Island (DC)	Status in employment not stated	22
Karoonda East Murray (DC)	Contributing family workers	65
Karoonda East Murray (DC)	Employee	228
Karoonda East Murray (DC)	Owner managers of incorporated enterprises	32
Karoonda East Murray (DC)	Owner managers of unincorporated enterprises	137
Karoonda East Murray (DC)	Status in employment not stated	11
Kimba (DC)	Contributing family workers	65
Kimba (DC)	Employee	277
Kimba (DC)	Owner managers of incorporated enterprises	60
Kimba (DC)	Owner managers of unincorporated enterprises	126
Kimba (DC)	Status in employment not stated	9
Kingston (DC) (SA)	Contributing family workers	83
Kingston (DC) (SA)	Employee	594
Kingston (DC) (SA)	Owner managers of incorporated enterprises	66
Kingston (DC) (SA)	Owner managers of unincorporated enterprises	151
Kingston (DC) (SA)	Status in employment not stated	17
Light (RegC)	Contributing family workers	205
Light (RegC)	Employee	3705
Light (RegC)	Owner managers of incorporated enterprises	315
Light (RegC)	Owner managers of unincorporated enterprises	553
Light (RegC)	Status in employment not stated	67
Lower Eyre Peninsula (DC)	Contributing family workers	135
Lower Eyre Peninsula (DC)	Employee	879
Lower Eyre Peninsula (DC)	Owner managers of incorporated enterprises	155
Lower Eyre Peninsula (DC)	Owner managers of unincorporated enterprises	303
Lower Eyre Peninsula (DC)	Status in employment not stated	30
Loxton Waikerie (DC)	Contributing family workers	221
Loxton Waikerie (DC)	Employee	3323
Loxton Waikerie (DC)	Owner managers of incorporated enterprises	324
Loxton Waikerie (DC)	Owner managers of unincorporated enterprises	541
Loxton Waikerie (DC)	Status in employment not stated	74
Mallala (DC)	Contributing family workers	99
Mallala (DC)	Employee	1320
Mallala (DC)	Owner managers of incorporated enterprises	168
Mallala (DC)	Owner managers of unincorporated enterprises	341
Mallala (DC)	Status in employment not stated	34
Maralinga Tjarutja (AC)	Employee	5
Marion (C)	Contributing family workers	277
Marion (C)	Employee	18068
Marion (C)	Owner managers of incorporated enterprises	1203
Marion (C)	Owner managers of unincorporated enterprises	1959
Marion (C)	Status in employment not stated	187
Mid Murray (DC)	Contributing family workers	175
Mid Murray (DC)	Employee	1584
Mid Murray (DC)	Owner managers of incorporated enterprises	154
Mid Murray (DC)	Owner managers of unincorporated enterprises	387
Mid Murray (DC)	Status in employment not stated	54
Mitcham (C)	Contributing family workers	297
Mitcham (C)	Employee	23881
Mitcham (C)	Owner managers of incorporated enterprises	1240
Mitcham (C)	Owner managers of unincorporated enterprises	1854
Mitcham (C)	Status in employment not stated	201
Mount Barker (DC)	Contributing family workers	270
Mount Barker (DC)	Employee	8137
Mount Barker (DC)	Owner managers of incorporated enterprises	690
Mount Barker (DC)	Owner managers of unincorporated enterprises	1241
Mount Barker (DC)	Status in employment not stated	141
Mount Gambier (C)	Contributing family workers	144
Mount Gambier (C)	Employee	10983
Mount Gambier (C)	Owner managers of incorporated enterprises	620
Mount Gambier (C)	Owner managers of unincorporated enterprises	749
Mount Gambier (C)	Status in employment not stated	135
Mount Remarkable (DC)	Contributing family workers	145
Mount Remarkable (DC)	Employee	412
Mount Remarkable (DC)	Owner managers of incorporated enterprises	70
Mount Remarkable (DC)	Owner managers of unincorporated enterprises	196
Mount Remarkable (DC)	Status in employment not stated	16
Murray Bridge (RC)	Contributing family workers	200
Murray Bridge (RC)	Employee	7676
Murray Bridge (RC)	Owner managers of incorporated enterprises	361
Murray Bridge (RC)	Owner managers of unincorporated enterprises	611
Murray Bridge (RC)	Status in employment not stated	153
Naracoorte and Lucindale (DC)	Contributing family workers	258
Naracoorte and Lucindale (DC)	Employee	2894
Naracoorte and Lucindale (DC)	Owner managers of incorporated enterprises	308
Naracoorte and Lucindale (DC)	Owner managers of unincorporated enterprises	537
Naracoorte and Lucindale (DC)	Status in employment not stated	60
Northern Areas (DC)	Contributing family workers	148
Northern Areas (DC)	Employee	1086
Northern Areas (DC)	Owner managers of incorporated enterprises	171
Northern Areas (DC)	Owner managers of unincorporated enterprises	294
Northern Areas (DC)	Status in employment not stated	30
Norwood Payneham St Peters (C)	Contributing family workers	285
Norwood Payneham St Peters (C)	Employee	18909
Norwood Payneham St Peters (C)	Owner managers of incorporated enterprises	1914
Norwood Payneham St Peters (C)	Owner managers of unincorporated enterprises	1730
Norwood Payneham St Peters (C)	Status in employment not stated	206
Onkaparinga (C)	Contributing family workers	705
Onkaparinga (C)	Employee	30330
Onkaparinga (C)	Owner managers of incorporated enterprises	2250
Onkaparinga (C)	Owner managers of unincorporated enterprises	4069
Onkaparinga (C)	Status in employment not stated	374
Orroroo/Carrieton (DC)	Contributing family workers	53
Orroroo/Carrieton (DC)	Employee	212
Orroroo/Carrieton (DC)	Owner managers of incorporated enterprises	24
Orroroo/Carrieton (DC)	Owner managers of unincorporated enterprises	86
Orroroo/Carrieton (DC)	Status in employment not stated	10
Peterborough (DC)	Contributing family workers	16
Peterborough (DC)	Employee	355
Peterborough (DC)	Owner managers of incorporated enterprises	16
Peterborough (DC)	Owner managers of unincorporated enterprises	69
Peterborough (DC)	Status in employment not stated	13
Playford (C)	Contributing family workers	406
Playford (C)	Employee	21149
Playford (C)	Owner managers of incorporated enterprises	828
Playford (C)	Owner managers of unincorporated enterprises	1599
Playford (C)	Status in employment not stated	271
Port Adelaide Enfield (C)	Contributing family workers	536
Port Adelaide Enfield (C)	Employee	56126
Port Adelaide Enfield (C)	Owner managers of incorporated enterprises	2804
Port Adelaide Enfield (C)	Owner managers of unincorporated enterprises	3122
Port Adelaide Enfield (C)	Status in employment not stated	569
Port Augusta (C)	Contributing family workers	33
Port Augusta (C)	Employee	4882
Port Augusta (C)	Owner managers of incorporated enterprises	161
Port Augusta (C)	Owner managers of unincorporated enterprises	238
Port Augusta (C)	Status in employment not stated	73
Port Lincoln (C)	Contributing family workers	124
Port Lincoln (C)	Employee	5546
Port Lincoln (C)	Owner managers of incorporated enterprises	370
Port Lincoln (C)	Owner managers of unincorporated enterprises	489
Port Lincoln (C)	Status in employment not stated	95
Port Pirie City and Dists (M)	Contributing family workers	125
Port Pirie City and Dists (M)	Employee	5769
Port Pirie City and Dists (M)	Owner managers of incorporated enterprises	266
Port Pirie City and Dists (M)	Owner managers of unincorporated enterprises	416
Port Pirie City and Dists (M)	Status in employment not stated	78
Prospect (C)	Contributing family workers	102
Prospect (C)	Employee	4507
Prospect (C)	Owner managers of incorporated enterprises	511
Prospect (C)	Owner managers of unincorporated enterprises	567
Prospect (C)	Status in employment not stated	42
Renmark Paringa (DC)	Contributing family workers	175
Renmark Paringa (DC)	Employee	3022
Renmark Paringa (DC)	Owner managers of incorporated enterprises	237
Renmark Paringa (DC)	Owner managers of unincorporated enterprises	333
Renmark Paringa (DC)	Status in employment not stated	58
Robe (DC)	Contributing family workers	53
Robe (DC)	Employee	379
Robe (DC)	Owner managers of incorporated enterprises	65
Robe (DC)	Owner managers of unincorporated enterprises	117
Robe (DC)	Status in employment not stated	13
Roxby Downs (M)	Contributing family workers	9
Roxby Downs (M)	Employee	2126
Roxby Downs (M)	Owner managers of incorporated enterprises	33
Roxby Downs (M)	Owner managers of unincorporated enterprises	33
Roxby Downs (M)	Status in employment not stated	24
Salisbury (C)	Contributing family workers	463
Salisbury (C)	Employee	39793
Salisbury (C)	Owner managers of incorporated enterprises	1999
Salisbury (C)	Owner managers of unincorporated enterprises	2648
Salisbury (C)	Status in employment not stated	421
Southern Mallee (DC)	Contributing family workers	80
Southern Mallee (DC)	Employee	639
Southern Mallee (DC)	Owner managers of incorporated enterprises	59
Southern Mallee (DC)	Owner managers of unincorporated enterprises	186
Southern Mallee (DC)	Status in employment not stated	22
Streaky Bay (DC)	Contributing family workers	73
Streaky Bay (DC)	Employee	520
Streaky Bay (DC)	Owner managers of incorporated enterprises	124
Streaky Bay (DC)	Owner managers of unincorporated enterprises	129
Streaky Bay (DC)	Status in employment not stated	14
Tatiara (DC)	Contributing family workers	216
Tatiara (DC)	Employee	2378
Tatiara (DC)	Owner managers of incorporated enterprises	227
Tatiara (DC)	Owner managers of unincorporated enterprises	524
Tatiara (DC)	Status in employment not stated	73
Tea Tree Gully (C)	Contributing family workers	319
Tea Tree Gully (C)	Employee	17459
Tea Tree Gully (C)	Owner managers of incorporated enterprises	1280
Tea Tree Gully (C)	Owner managers of unincorporated enterprises	2037
Tea Tree Gully (C)	Status in employment not stated	181
The Coorong (DC)	Contributing family workers	186
The Coorong (DC)	Employee	1271
The Coorong (DC)	Owner managers of incorporated enterprises	178
The Coorong (DC)	Owner managers of unincorporated enterprises	362
The Coorong (DC)	Status in employment not stated	40
Tumby Bay (DC)	Contributing family workers	91
Tumby Bay (DC)	Employee	479
Tumby Bay (DC)	Owner managers of incorporated enterprises	80
Tumby Bay (DC)	Owner managers of unincorporated enterprises	215
Tumby Bay (DC)	Status in employment not stated	18
Unley (C)	Contributing family workers	245
Unley (C)	Employee	16079
Unley (C)	Owner managers of incorporated enterprises	1470
Unley (C)	Owner managers of unincorporated enterprises	1466
Unley (C)	Status in employment not stated	125
Victor Harbor (C)	Contributing family workers	108
Victor Harbor (C)	Employee	3382
Victor Harbor (C)	Owner managers of incorporated enterprises	250
Victor Harbor (C)	Owner managers of unincorporated enterprises	600
Victor Harbor (C)	Status in employment not stated	62
Wakefield (DC)	Contributing family workers	135
Wakefield (DC)	Employee	1946
Wakefield (DC)	Owner managers of incorporated enterprises	159
Wakefield (DC)	Owner managers of unincorporated enterprises	412
Wakefield (DC)	Status in employment not stated	36
Walkerville (M)	Contributing family workers	34
Walkerville (M)	Employee	1870
Walkerville (M)	Owner managers of incorporated enterprises	207
Walkerville (M)	Owner managers of unincorporated enterprises	218
Walkerville (M)	Status in employment not stated	23
Wattle Range (DC)	Contributing family workers	274
Wattle Range (DC)	Employee	3416
Wattle Range (DC)	Owner managers of incorporated enterprises	308
Wattle Range (DC)	Owner managers of unincorporated enterprises	505
Wattle Range (DC)	Status in employment not stated	88
West Torrens (C)	Contributing family workers	259
West Torrens (C)	Employee	38389
West Torrens (C)	Owner managers of incorporated enterprises	1958
West Torrens (C)	Owner managers of unincorporated enterprises	1947
West Torrens (C)	Status in employment not stated	368
Whyalla (C)	Contributing family workers	61
Whyalla (C)	Employee	6463
Whyalla (C)	Owner managers of incorporated enterprises	208
Whyalla (C)	Owner managers of unincorporated enterprises	315
Whyalla (C)	Status in employment not stated	87
Wudinna (DC)	Contributing family workers	71
Wudinna (DC)	Employee	365
Wudinna (DC)	Owner managers of incorporated enterprises	63
Wudinna (DC)	Owner managers of unincorporated enterprises	122
Wudinna (DC)	Status in employment not stated	9
Yankalilla (DC)	Contributing family workers	113
Yankalilla (DC)	Employee	857
Yankalilla (DC)	Owner managers of incorporated enterprises	128
Yankalilla (DC)	Owner managers of unincorporated enterprises	289
Yankalilla (DC)	Status in employment not stated	21
Yorke Peninsula (DC)	Contributing family workers	316
Yorke Peninsula (DC)	Employee	2222
Yorke Peninsula (DC)	Owner managers of incorporated enterprises	339
Yorke Peninsula (DC)	Owner managers of unincorporated enterprises	760
Yorke Peninsula (DC)	Status in employment not stated	76
Unincorporated SA	Contributing family workers	91
Unincorporated SA	Employee	5403
Unincorporated SA	Owner managers of incorporated enterprises	126
Unincorporated SA	Owner managers of unincorporated enterprises	157
Unincorporated SA	Status in employment not stated	50
No usual address (SA)	Contributing family workers	492
No usual address (SA)	Employee	18810
No usual address (SA)	Owner managers of incorporated enterprises	2837
No usual address (SA)	Owner managers of unincorporated enterprises	11595
No usual address (SA)	Status in employment not stated	577
Migratory - Offshore - Shipping (SA)	Employee	52
Migratory - Offshore - Shipping (SA)	Owner managers of unincorporated enterprises	4
Albany (C)	Contributing family workers	397
Albany (C)	Employee	11983
Albany (C)	Owner managers of incorporated enterprises	802
Albany (C)	Owner managers of unincorporated enterprises	1477
Albany (C)	Status in employment not stated	154
Armadale (C)	Contributing family workers	293
Armadale (C)	Employee	14379
Armadale (C)	Owner managers of incorporated enterprises	1133
Armadale (C)	Owner managers of unincorporated enterprises	1667
Armadale (C)	Status in employment not stated	139
Ashburton (S)	Contributing family workers	39
Ashburton (S)	Employee	22915
Ashburton (S)	Owner managers of incorporated enterprises	208
Ashburton (S)	Owner managers of unincorporated enterprises	141
Ashburton (S)	Status in employment not stated	143
Augusta-Margaret River (S)	Contributing family workers	264
Augusta-Margaret River (S)	Employee	4048
Augusta-Margaret River (S)	Owner managers of incorporated enterprises	494
Augusta-Margaret River (S)	Owner managers of unincorporated enterprises	967
Augusta-Margaret River (S)	Status in employment not stated	83
Bassendean (T)	Contributing family workers	64
Bassendean (T)	Employee	4989
Bassendean (T)	Owner managers of incorporated enterprises	369
Bassendean (T)	Owner managers of unincorporated enterprises	469
Bassendean (T)	Status in employment not stated	55
Bayswater (C)	Contributing family workers	305
Bayswater (C)	Employee	16244
Bayswater (C)	Owner managers of incorporated enterprises	1570
Bayswater (C)	Owner managers of unincorporated enterprises	1886
Bayswater (C)	Status in employment not stated	205
Belmont (C)	Contributing family workers	179
Belmont (C)	Employee	35232
Belmont (C)	Owner managers of incorporated enterprises	1422
Belmont (C)	Owner managers of unincorporated enterprises	1304
Belmont (C)	Status in employment not stated	263
Beverley (S)	Contributing family workers	50
Beverley (S)	Employee	252
Beverley (S)	Owner managers of incorporated enterprises	68
Beverley (S)	Owner managers of unincorporated enterprises	111
Beverley (S)	Status in employment not stated	12
Boddington (S)	Contributing family workers	38
Boddington (S)	Employee	1974
Boddington (S)	Owner managers of incorporated enterprises	47
Boddington (S)	Owner managers of unincorporated enterprises	49
Boddington (S)	Status in employment not stated	25
Boyup Brook (S)	Contributing family workers	95
Boyup Brook (S)	Employee	318
Boyup Brook (S)	Owner managers of incorporated enterprises	62
