LGA_NAME16	CountryOfBirth	EmploymentStatus	workers
Brisbane (C)	IDN	Owner managers of unincorporated enterprises	78
Brisbane (C)	IDN	Status in employment not stated	14
Brisbane (C)	IRN	Contributing family workers	26
Brisbane (C)	IRN	Employee	1534
Brisbane (C)	IRN	Owner managers of incorporated enterprises	110
Brisbane (C)	IRN	Owner managers of unincorporated enterprises	144
Brisbane (C)	IRN	Status in employment not stated	20
Brisbane (C)	IRQ	Contributing family workers	9
Brisbane (C)	IRQ	Employee	270
Brisbane (C)	IRQ	Owner managers of incorporated enterprises	33
Brisbane (C)	IRQ	Owner managers of unincorporated enterprises	37
Brisbane (C)	IRQ	Status in employment not stated	8
Brisbane (C)	IRL	Contributing family workers	22
Brisbane (C)	IRL	Employee	2840
Brisbane (C)	IRL	Owner managers of incorporated enterprises	232
Brisbane (C)	IRL	Owner managers of unincorporated enterprises	129
Brisbane (C)	IRL	Status in employment not stated	15
Brisbane (C)	ITA	Contributing family workers	70
Brisbane (C)	ITA	Employee	1308
Brisbane (C)	ITA	Owner managers of incorporated enterprises	193
Brisbane (C)	ITA	Owner managers of unincorporated enterprises	140
Brisbane (C)	ITA	Status in employment not stated	26
Brisbane (C)	JPN	Contributing family workers	24
Brisbane (C)	JPN	Employee	1928
Brisbane (C)	JPN	Owner managers of incorporated enterprises	104
Brisbane (C)	JPN	Owner managers of unincorporated enterprises	137
Brisbane (C)	JPN	Status in employment not stated	14
Brisbane (C)	LBN	Contributing family workers	8
Brisbane (C)	LBN	Employee	205
Brisbane (C)	LBN	Owner managers of incorporated enterprises	41
Brisbane (C)	LBN	Owner managers of unincorporated enterprises	46
Brisbane (C)	LBN	Status in employment not stated	3
Brisbane (C)	MYS	Contributing family workers	37
Brisbane (C)	MYS	Employee	4047
Brisbane (C)	MYS	Owner managers of incorporated enterprises	321
Brisbane (C)	MYS	Owner managers of unincorporated enterprises	230
Brisbane (C)	MYS	Status in employment not stated	15
Brisbane (C)	MLT	Employee	167
Brisbane (C)	MLT	Owner managers of incorporated enterprises	13
Brisbane (C)	MLT	Owner managers of unincorporated enterprises	16
Brisbane (C)	MLT	Status in employment not stated	4
Brisbane (C)	NLD	Contributing family workers	20
Brisbane (C)	NLD	Employee	1348
Brisbane (C)	NLD	Owner managers of incorporated enterprises	106
Brisbane (C)	NLD	Owner managers of unincorporated enterprises	110
Brisbane (C)	NLD	Status in employment not stated	8
Brisbane (C)	NZL	Contributing family workers	214
Brisbane (C)	NZL	Employee	38237
Brisbane (C)	NZL	Owner managers of incorporated enterprises	1764
Brisbane (C)	NZL	Owner managers of unincorporated enterprises	1545
Brisbane (C)	NZL	Status in employment not stated	329
Brisbane (C)	PAK	Contributing family workers	14
Brisbane (C)	PAK	Employee	911
Brisbane (C)	PAK	Owner managers of incorporated enterprises	92
Brisbane (C)	PAK	Owner managers of unincorporated enterprises	85
Brisbane (C)	PAK	Status in employment not stated	13
Brisbane (C)	PHL	Contributing family workers	32
Brisbane (C)	PHL	Employee	8768
Brisbane (C)	PHL	Owner managers of incorporated enterprises	140
Brisbane (C)	PHL	Owner managers of unincorporated enterprises	193
Brisbane (C)	PHL	Status in employment not stated	40
Brisbane (C)	POL	Contributing family workers	7
Brisbane (C)	POL	Employee	1041
Brisbane (C)	POL	Owner managers of incorporated enterprises	76
Brisbane (C)	POL	Owner managers of unincorporated enterprises	68
Brisbane (C)	POL	Status in employment not stated	6
Brisbane (C)	SGP	Contributing family workers	14
Brisbane (C)	SGP	Employee	1638
Brisbane (C)	SGP	Owner managers of incorporated enterprises	96
Brisbane (C)	SGP	Owner managers of unincorporated enterprises	84
Brisbane (C)	SGP	Status in employment not stated	11
Brisbane (C)	ZAF	Contributing family workers	65
Brisbane (C)	ZAF	Employee	9510
Brisbane (C)	ZAF	Owner managers of incorporated enterprises	624
Brisbane (C)	ZAF	Owner managers of unincorporated enterprises	464
Brisbane (C)	ZAF	Status in employment not stated	37
Brisbane (C)	KOR	Contributing family workers	111
Brisbane (C)	KOR	Employee	4017
Brisbane (C)	KOR	Owner managers of incorporated enterprises	436
Brisbane (C)	KOR	Owner managers of unincorporated enterprises	459
Brisbane (C)	KOR	Status in employment not stated	49
Brisbane (C)	LKA	Contributing family workers	20
Brisbane (C)	LKA	Employee	2729
Brisbane (C)	LKA	Owner managers of incorporated enterprises	169
Brisbane (C)	LKA	Owner managers of unincorporated enterprises	183
Brisbane (C)	LKA	Status in employment not stated	21
Brisbane (C)	THA	Contributing family workers	29
Brisbane (C)	THA	Employee	1796
Brisbane (C)	THA	Owner managers of incorporated enterprises	119
Brisbane (C)	THA	Owner managers of unincorporated enterprises	142
Brisbane (C)	THA	Status in employment not stated	19
Brisbane (C)	TUR	Contributing family workers	5
Brisbane (C)	TUR	Employee	229
Brisbane (C)	TUR	Owner managers of incorporated enterprises	43
Brisbane (C)	TUR	Owner managers of unincorporated enterprises	38
Brisbane (C)	TUR	Status in employment not stated	3
Brisbane (C)	GBR	Contributing family workers	279
Brisbane (C)	GBR	Employee	34116
Brisbane (C)	GBR	Owner managers of incorporated enterprises	2305
Brisbane (C)	GBR	Owner managers of unincorporated enterprises	1917
Brisbane (C)	GBR	Status in employment not stated	219
Brisbane (C)	USA	Contributing family workers	36
Brisbane (C)	USA	Employee	3294
Brisbane (C)	USA	Owner managers of incorporated enterprises	201
Brisbane (C)	USA	Owner managers of unincorporated enterprises	179
Brisbane (C)	USA	Status in employment not stated	16
Brisbane (C)	VNM	Contributing family workers	161
Brisbane (C)	VNM	Employee	4752
Brisbane (C)	VNM	Owner managers of incorporated enterprises	408
Brisbane (C)	VNM	Owner managers of unincorporated enterprises	786
Brisbane (C)	VNM	Status in employment not stated	79
Brisbane (C)	ZWE	Contributing family workers	18
Brisbane (C)	ZWE	Employee	2237
Brisbane (C)	ZWE	Owner managers of incorporated enterprises	140
Brisbane (C)	ZWE	Owner managers of unincorporated enterprises	92
Brisbane (C)	ZWE	Status in employment not stated	5
Bulloo (S)		Employee	6
Bulloo (S)	AUS	Contributing family workers	21
Bulloo (S)	AUS	Employee	194
Bulloo (S)	AUS	Owner managers of incorporated enterprises	10
Bulloo (S)	AUS	Owner managers of unincorporated enterprises	23
Bulloo (S)	AUS	Status in employment not stated	3
Bulloo (S)	DEU	Employee	3
Bulloo (S)	IRL	Owner managers of unincorporated enterprises	4
Bulloo (S)	PHL	Employee	3
Bulloo (S)	ZAF	Employee	3
Bulloo (S)	GBR	Employee	13
Bundaberg (R)		Contributing family workers	43
Bundaberg (R)		Employee	863
Bundaberg (R)		Owner managers of incorporated enterprises	49
Bundaberg (R)		Owner managers of unincorporated enterprises	82
Bundaberg (R)		Status in employment not stated	35
Bundaberg (R)	AUS	Contributing family workers	731
Bundaberg (R)	AUS	Employee	22081
Bundaberg (R)	AUS	Owner managers of incorporated enterprises	1443
Bundaberg (R)	AUS	Owner managers of unincorporated enterprises	2098
Bundaberg (R)	AUS	Status in employment not stated	254
Bundaberg (R)	CAN	Employee	59
Bundaberg (R)	CAN	Owner managers of incorporated enterprises	4
Bundaberg (R)	CAN	Owner managers of unincorporated enterprises	6
Bundaberg (R)	CHN	Contributing family workers	3
Bundaberg (R)	CHN	Employee	35
Bundaberg (R)	CHN	Owner managers of incorporated enterprises	12
Bundaberg (R)	CHN	Owner managers of unincorporated enterprises	18
Bundaberg (R)	CHN	Status in employment not stated	3
Bundaberg (R)	HRV	Employee	3
Bundaberg (R)	HRV	Owner managers of unincorporated enterprises	3
Bundaberg (R)	EGY	Employee	5
Bundaberg (R)	EGY	Owner managers of unincorporated enterprises	3
Bundaberg (R)	FJI	Employee	41
Bundaberg (R)	FJI	Owner managers of incorporated enterprises	5
Bundaberg (R)	MKD	Employee	3
Bundaberg (R)	DEU	Contributing family workers	3
Bundaberg (R)	DEU	Employee	80
Bundaberg (R)	DEU	Owner managers of incorporated enterprises	12
Bundaberg (R)	DEU	Owner managers of unincorporated enterprises	5
Bundaberg (R)	HKG	Employee	54
Bundaberg (R)	HKG	Owner managers of incorporated enterprises	7
Bundaberg (R)	IND	Contributing family workers	6
Bundaberg (R)	IND	Employee	136
Bundaberg (R)	IND	Owner managers of incorporated enterprises	12
Bundaberg (R)	IND	Owner managers of unincorporated enterprises	4
Bundaberg (R)	IND	Status in employment not stated	3
Bundaberg (R)	IDN	Employee	18
Bundaberg (R)	IRN	Employee	4
Bundaberg (R)	IRN	Owner managers of unincorporated enterprises	3
Bundaberg (R)	IRQ	Employee	3
Bundaberg (R)	IRL	Employee	40
Bundaberg (R)	IRL	Owner managers of unincorporated enterprises	4
Bundaberg (R)	ITA	Contributing family workers	7
Bundaberg (R)	ITA	Employee	57
Bundaberg (R)	ITA	Owner managers of incorporated enterprises	8
Bundaberg (R)	ITA	Owner managers of unincorporated enterprises	7
Bundaberg (R)	JPN	Employee	59
Bundaberg (R)	JPN	Owner managers of unincorporated enterprises	5
Bundaberg (R)	MYS	Employee	57
Bundaberg (R)	MYS	Owner managers of unincorporated enterprises	8
Bundaberg (R)	MLT	Employee	3
Bundaberg (R)	MLT	Owner managers of incorporated enterprises	4
Bundaberg (R)	NLD	Contributing family workers	3
Bundaberg (R)	NLD	Employee	53
Bundaberg (R)	NLD	Owner managers of incorporated enterprises	10
Bundaberg (R)	NLD	Owner managers of unincorporated enterprises	10
Bundaberg (R)	NZL	Contributing family workers	19
Bundaberg (R)	NZL	Employee	627
Bundaberg (R)	NZL	Owner managers of incorporated enterprises	45
Bundaberg (R)	NZL	Owner managers of unincorporated enterprises	75
Bundaberg (R)	NZL	Status in employment not stated	7
Bundaberg (R)	PAK	Contributing family workers	3
Bundaberg (R)	PAK	Employee	12
Bundaberg (R)	PAK	Owner managers of incorporated enterprises	6
Bundaberg (R)	PHL	Contributing family workers	6
Bundaberg (R)	PHL	Employee	231
Bundaberg (R)	PHL	Owner managers of incorporated enterprises	8
Bundaberg (R)	PHL	Owner managers of unincorporated enterprises	8
Bundaberg (R)	PHL	Status in employment not stated	3
Bundaberg (R)	POL	Employee	8
Bundaberg (R)	SGP	Employee	13
Bundaberg (R)	SGP	Owner managers of incorporated enterprises	3
Bundaberg (R)	ZAF	Contributing family workers	8
Bundaberg (R)	ZAF	Employee	153
Bundaberg (R)	ZAF	Owner managers of incorporated enterprises	19
Bundaberg (R)	ZAF	Owner managers of unincorporated enterprises	24
Bundaberg (R)	KOR	Contributing family workers	3
Bundaberg (R)	KOR	Employee	77
Bundaberg (R)	KOR	Owner managers of incorporated enterprises	7
Bundaberg (R)	KOR	Owner managers of unincorporated enterprises	3
Bundaberg (R)	LKA	Employee	29
Bundaberg (R)	LKA	Owner managers of incorporated enterprises	3
Bundaberg (R)	LKA	Owner managers of unincorporated enterprises	3
Bundaberg (R)	THA	Contributing family workers	3
Bundaberg (R)	THA	Employee	22
Bundaberg (R)	THA	Owner managers of incorporated enterprises	9
Bundaberg (R)	THA	Owner managers of unincorporated enterprises	8
Bundaberg (R)	TUR	Employee	9
Bundaberg (R)	TUR	Owner managers of incorporated enterprises	7
Bundaberg (R)	TUR	Owner managers of unincorporated enterprises	9
Bundaberg (R)	GBR	Contributing family workers	30
Bundaberg (R)	GBR	Employee	943
Bundaberg (R)	GBR	Owner managers of incorporated enterprises	54
Bundaberg (R)	GBR	Owner managers of unincorporated enterprises	90
Bundaberg (R)	GBR	Status in employment not stated	9
Bundaberg (R)	USA	Contributing family workers	4
Bundaberg (R)	USA	Employee	58
Bundaberg (R)	USA	Owner managers of incorporated enterprises	6
Bundaberg (R)	USA	Owner managers of unincorporated enterprises	3
Bundaberg (R)	VNM	Contributing family workers	3
Bundaberg (R)	VNM	Employee	42
Bundaberg (R)	VNM	Owner managers of incorporated enterprises	13
Bundaberg (R)	VNM	Owner managers of unincorporated enterprises	3
Bundaberg (R)	VNM	Status in employment not stated	4
Bundaberg (R)	ZWE	Contributing family workers	3
Bundaberg (R)	ZWE	Employee	41
Bundaberg (R)	ZWE	Owner managers of incorporated enterprises	8
Burdekin (S)		Contributing family workers	20
Burdekin (S)		Employee	210
Burdekin (S)		Owner managers of incorporated enterprises	10
Burdekin (S)		Owner managers of unincorporated enterprises	29
Burdekin (S)		Status in employment not stated	8
Burdekin (S)	AUS	Contributing family workers	242
Burdekin (S)	AUS	Employee	5068
Burdekin (S)	AUS	Owner managers of incorporated enterprises	474
Burdekin (S)	AUS	Owner managers of unincorporated enterprises	672
Burdekin (S)	AUS	Status in employment not stated	96
Burdekin (S)	CAN	Employee	5
Burdekin (S)	CHN	Employee	4
Burdekin (S)	FJI	Employee	3
Burdekin (S)	DEU	Employee	15
Burdekin (S)	GRC	Owner managers of unincorporated enterprises	3
Burdekin (S)	HKG	Employee	4
Burdekin (S)	IND	Employee	24
Burdekin (S)	IND	Owner managers of incorporated enterprises	4
Burdekin (S)	IDN	Employee	3
Burdekin (S)	IRL	Employee	16
Burdekin (S)	IRL	Owner managers of incorporated enterprises	3
Burdekin (S)	ITA	Contributing family workers	9
Burdekin (S)	ITA	Employee	42
Burdekin (S)	ITA	Owner managers of incorporated enterprises	19
Burdekin (S)	ITA	Owner managers of unincorporated enterprises	17
Burdekin (S)	ITA	Status in employment not stated	3
Burdekin (S)	JPN	Employee	33
Burdekin (S)	MYS	Employee	3
Burdekin (S)	NLD	Employee	10
Burdekin (S)	NZL	Contributing family workers	3
Burdekin (S)	NZL	Employee	75
Burdekin (S)	NZL	Owner managers of incorporated enterprises	3
Burdekin (S)	NZL	Owner managers of unincorporated enterprises	6
Burdekin (S)	NZL	Status in employment not stated	3
Burdekin (S)	PHL	Employee	42
Burdekin (S)	ZAF	Employee	22
Burdekin (S)	ZAF	Owner managers of incorporated enterprises	6
Burdekin (S)	KOR	Employee	30
Burdekin (S)	KOR	Owner managers of incorporated enterprises	3
Burdekin (S)	LKA	Employee	3
Burdekin (S)	GBR	Contributing family workers	8
Burdekin (S)	GBR	Employee	90
Burdekin (S)	GBR	Owner managers of incorporated enterprises	4
Burdekin (S)	GBR	Owner managers of unincorporated enterprises	9
Burdekin (S)	USA	Employee	5
Burdekin (S)	VNM	Contributing family workers	3
Burdekin (S)	VNM	Owner managers of incorporated enterprises	3
Burdekin (S)	VNM	Status in employment not stated	4
Burdekin (S)	ZWE	Employee	11
Burke (S)		Employee	3
Burke (S)	AUS	Contributing family workers	3
Burke (S)	AUS	Employee	108
Burke (S)	AUS	Owner managers of incorporated enterprises	5
Burke (S)	AUS	Owner managers of unincorporated enterprises	3
Burke (S)	AUS	Status in employment not stated	4
Burke (S)	NZL	Employee	4
Cairns (R)		Contributing family workers	61
Cairns (R)		Employee	3576
Cairns (R)		Owner managers of incorporated enterprises	217
Cairns (R)		Owner managers of unincorporated enterprises	349
Cairns (R)		Status in employment not stated	98
Cairns (R)	AUS	Contributing family workers	631
Cairns (R)	AUS	Employee	41245
Cairns (R)	AUS	Owner managers of incorporated enterprises	2923
Cairns (R)	AUS	Owner managers of unincorporated enterprises	3240
Cairns (R)	AUS	Status in employment not stated	414
Cairns (R)	CAN	Employee	254
Cairns (R)	CAN	Owner managers of incorporated enterprises	7
Cairns (R)	CAN	Owner managers of unincorporated enterprises	23
Cairns (R)	CHN	Contributing family workers	15
Cairns (R)	CHN	Employee	303
Cairns (R)	CHN	Owner managers of incorporated enterprises	43
Cairns (R)	CHN	Owner managers of unincorporated enterprises	43
Cairns (R)	HRV	Contributing family workers	3
Cairns (R)	HRV	Employee	20
Cairns (R)	HRV	Owner managers of unincorporated enterprises	3
Cairns (R)	EGY	Employee	15
Cairns (R)	FJI	Contributing family workers	3
Cairns (R)	FJI	Employee	124
Cairns (R)	FJI	Owner managers of unincorporated enterprises	6
Cairns (R)	DEU	Contributing family workers	15
Cairns (R)	DEU	Employee	346
Cairns (R)	DEU	Owner managers of incorporated enterprises	33
Cairns (R)	DEU	Owner managers of unincorporated enterprises	67
Cairns (R)	DEU	Status in employment not stated	7
Cairns (R)	GRC	Employee	9
Cairns (R)	GRC	Owner managers of unincorporated enterprises	3
Cairns (R)	HKG	Contributing family workers	3
Cairns (R)	HKG	Employee	113
Cairns (R)	HKG	Owner managers of incorporated enterprises	8
Cairns (R)	HKG	Owner managers of unincorporated enterprises	15
Cairns (R)	IND	Contributing family workers	17
Cairns (R)	IND	Employee	713
Cairns (R)	IND	Owner managers of incorporated enterprises	53
Cairns (R)	IND	Owner managers of unincorporated enterprises	57
Cairns (R)	IND	Status in employment not stated	17
Cairns (R)	IDN	Contributing family workers	4
Cairns (R)	IDN	Employee	121
Cairns (R)	IDN	Owner managers of incorporated enterprises	8
Cairns (R)	IDN	Owner managers of unincorporated enterprises	11
Cairns (R)	IRN	Employee	21
Cairns (R)	IRN	Owner managers of incorporated enterprises	8
Cairns (R)	IRN	Owner managers of unincorporated enterprises	7
Cairns (R)	IRQ	Employee	3
Cairns (R)	IRQ	Owner managers of incorporated enterprises	3
Cairns (R)	IRL	Contributing family workers	4
Cairns (R)	IRL	Employee	165
Cairns (R)	IRL	Owner managers of incorporated enterprises	16
Cairns (R)	IRL	Owner managers of unincorporated enterprises	23
Cairns (R)	ITA	Contributing family workers	11
Cairns (R)	ITA	Employee	199
Cairns (R)	ITA	Owner managers of incorporated enterprises	23
Cairns (R)	ITA	Owner managers of unincorporated enterprises	19
Cairns (R)	ITA	Status in employment not stated	10
Cairns (R)	JPN	Contributing family workers	20
Cairns (R)	JPN	Employee	867
Cairns (R)	JPN	Owner managers of incorporated enterprises	58
Cairns (R)	JPN	Owner managers of unincorporated enterprises	76
Cairns (R)	JPN	Status in employment not stated	15
Cairns (R)	LBN	Employee	3
Cairns (R)	LBN	Owner managers of incorporated enterprises	6
Cairns (R)	LBN	Status in employment not stated	3
Cairns (R)	MYS	Employee	139
Cairns (R)	MYS	Owner managers of incorporated enterprises	18
Cairns (R)	MYS	Owner managers of unincorporated enterprises	20
Cairns (R)	MYS	Status in employment not stated	3
Cairns (R)	MLT	Contributing family workers	3
Cairns (R)	MLT	Employee	14
Cairns (R)	MLT	Owner managers of incorporated enterprises	7
Cairns (R)	MLT	Owner managers of unincorporated enterprises	4
Cairns (R)	NLD	Contributing family workers	5
Cairns (R)	NLD	Employee	197
Cairns (R)	NLD	Owner managers of incorporated enterprises	18
Cairns (R)	NLD	Owner managers of unincorporated enterprises	22
Cairns (R)	NZL	Contributing family workers	44
Cairns (R)	NZL	Employee	2387
Cairns (R)	NZL	Owner managers of incorporated enterprises	171
Cairns (R)	NZL	Owner managers of unincorporated enterprises	254
Cairns (R)	NZL	Status in employment not stated	31
Cairns (R)	PAK	Employee	18
Cairns (R)	PAK	Owner managers of incorporated enterprises	3
Cairns (R)	PAK	Owner managers of unincorporated enterprises	3
Cairns (R)	PHL	Contributing family workers	8
Cairns (R)	PHL	Employee	1009
Cairns (R)	PHL	Owner managers of incorporated enterprises	21
Cairns (R)	PHL	Owner managers of unincorporated enterprises	47
Cairns (R)	PHL	Status in employment not stated	23
Cairns (R)	POL	Employee	74
Cairns (R)	POL	Owner managers of incorporated enterprises	11
Cairns (R)	POL	Owner managers of unincorporated enterprises	8
Cairns (R)	SGP	Employee	69
Cairns (R)	SGP	Owner managers of incorporated enterprises	3
Cairns (R)	SGP	Owner managers of unincorporated enterprises	3
Cairns (R)	ZAF	Contributing family workers	12
Cairns (R)	ZAF	Employee	385
Cairns (R)	ZAF	Owner managers of incorporated enterprises	21
Cairns (R)	ZAF	Owner managers of unincorporated enterprises	25
Cairns (R)	ZAF	Status in employment not stated	3
Cairns (R)	KOR	Contributing family workers	18
Cairns (R)	KOR	Employee	463
Cairns (R)	KOR	Owner managers of incorporated enterprises	39
Cairns (R)	KOR	Owner managers of unincorporated enterprises	35
Cairns (R)	KOR	Status in employment not stated	3
Cairns (R)	LKA	Employee	91
Cairns (R)	LKA	Owner managers of incorporated enterprises	12
Cairns (R)	LKA	Owner managers of unincorporated enterprises	6
Cairns (R)	THA	Contributing family workers	5
Cairns (R)	THA	Employee	254
Cairns (R)	THA	Owner managers of incorporated enterprises	9
Cairns (R)	THA	Owner managers of unincorporated enterprises	34
Cairns (R)	THA	Status in employment not stated	5
Cairns (R)	TUR	Employee	14
Cairns (R)	TUR	Owner managers of unincorporated enterprises	3
Cairns (R)	GBR	Contributing family workers	46
Cairns (R)	GBR	Employee	3235
Cairns (R)	GBR	Owner managers of incorporated enterprises	280
Cairns (R)	GBR	Owner managers of unincorporated enterprises	377
Cairns (R)	GBR	Status in employment not stated	33
Cairns (R)	USA	Contributing family workers	3
Cairns (R)	USA	Employee	280
Cairns (R)	USA	Owner managers of incorporated enterprises	23
Cairns (R)	USA	Owner managers of unincorporated enterprises	27
Cairns (R)	USA	Status in employment not stated	4
Cairns (R)	VNM	Contributing family workers	9
Cairns (R)	VNM	Employee	94
Cairns (R)	VNM	Owner managers of incorporated enterprises	17
Cairns (R)	VNM	Owner managers of unincorporated enterprises	19
Cairns (R)	VNM	Status in employment not stated	3
Cairns (R)	ZWE	Employee	130
Cairns (R)	ZWE	Owner managers of incorporated enterprises	5
Cairns (R)	ZWE	Owner managers of unincorporated enterprises	7
Carpentaria (S)		Employee	25
Carpentaria (S)		Owner managers of incorporated enterprises	3
Carpentaria (S)	AUS	Contributing family workers	23
Carpentaria (S)	AUS	Employee	606
Carpentaria (S)	AUS	Owner managers of incorporated enterprises	55
Carpentaria (S)	AUS	Owner managers of unincorporated enterprises	51
Carpentaria (S)	AUS	Status in employment not stated	20
Carpentaria (S)	CAN	Employee	4
Carpentaria (S)	HKG	Employee	3
Carpentaria (S)	IND	Employee	7
Carpentaria (S)	NLD	Employee	7
Carpentaria (S)	NZL	Employee	16
Carpentaria (S)	PHL	Employee	13
Carpentaria (S)	ZAF	Employee	3
Carpentaria (S)	GBR	Employee	20
Cassowary Coast (R)		Contributing family workers	27
Cassowary Coast (R)		Employee	481
Cassowary Coast (R)		Owner managers of incorporated enterprises	34
Cassowary Coast (R)		Owner managers of unincorporated enterprises	71
Cassowary Coast (R)		Status in employment not stated	14
Cassowary Coast (R)	AUS	Contributing family workers	380
Cassowary Coast (R)	AUS	Employee	7100
Cassowary Coast (R)	AUS	Owner managers of incorporated enterprises	613
Cassowary Coast (R)	AUS	Owner managers of unincorporated enterprises	875
Cassowary Coast (R)	AUS	Status in employment not stated	138
Cassowary Coast (R)	CAN	Employee	19
Cassowary Coast (R)	CAN	Owner managers of incorporated enterprises	4
Cassowary Coast (R)	CAN	Owner managers of unincorporated enterprises	3
Cassowary Coast (R)	CHN	Employee	13
Cassowary Coast (R)	CHN	Owner managers of incorporated enterprises	5
Cassowary Coast (R)	HRV	Employee	3
Cassowary Coast (R)	HRV	Owner managers of incorporated enterprises	3
Cassowary Coast (R)	FJI	Employee	15
Cassowary Coast (R)	DEU	Employee	29
Cassowary Coast (R)	DEU	Owner managers of incorporated enterprises	6
Cassowary Coast (R)	DEU	Owner managers of unincorporated enterprises	9
Cassowary Coast (R)	DEU	Status in employment not stated	3
Cassowary Coast (R)	HKG	Employee	8
Cassowary Coast (R)	IND	Contributing family workers	14
Cassowary Coast (R)	IND	Employee	309
Cassowary Coast (R)	IND	Owner managers of incorporated enterprises	35
Cassowary Coast (R)	IND	Owner managers of unincorporated enterprises	11
Cassowary Coast (R)	IND	Status in employment not stated	17
Cassowary Coast (R)	IDN	Employee	7
Cassowary Coast (R)	IDN	Owner managers of unincorporated enterprises	3
Cassowary Coast (R)	IRL	Employee	27
Cassowary Coast (R)	IRL	Owner managers of unincorporated enterprises	4
Cassowary Coast (R)	ITA	Contributing family workers	11
Cassowary Coast (R)	ITA	Employee	44
Cassowary Coast (R)	ITA	Owner managers of incorporated enterprises	5
Cassowary Coast (R)	ITA	Owner managers of unincorporated enterprises	15
Cassowary Coast (R)	JPN	Employee	54
Cassowary Coast (R)	MYS	Employee	13
Cassowary Coast (R)	MYS	Owner managers of incorporated enterprises	3
Cassowary Coast (R)	MYS	Owner managers of unincorporated enterprises	3
Cassowary Coast (R)	MLT	Contributing family workers	3
Cassowary Coast (R)	MLT	Employee	3
Cassowary Coast (R)	MLT	Owner managers of incorporated enterprises	3
Cassowary Coast (R)	MLT	Owner managers of unincorporated enterprises	3
Cassowary Coast (R)	NLD	Employee	23
Cassowary Coast (R)	NZL	Contributing family workers	8
Cassowary Coast (R)	NZL	Employee	264
Cassowary Coast (R)	NZL	Owner managers of incorporated enterprises	19
Cassowary Coast (R)	NZL	Owner managers of unincorporated enterprises	29
Cassowary Coast (R)	NZL	Status in employment not stated	3
Cassowary Coast (R)	PAK	Employee	11
Cassowary Coast (R)	PHL	Contributing family workers	4
Cassowary Coast (R)	PHL	Employee	147
Cassowary Coast (R)	PHL	Owner managers of incorporated enterprises	3
Cassowary Coast (R)	PHL	Owner managers of unincorporated enterprises	6
Cassowary Coast (R)	PHL	Status in employment not stated	3
Cassowary Coast (R)	SGP	Employee	5
Cassowary Coast (R)	ZAF	Employee	32
Cassowary Coast (R)	ZAF	Owner managers of incorporated enterprises	5
Cassowary Coast (R)	KOR	Employee	29
Cassowary Coast (R)	LKA	Employee	4
Cassowary Coast (R)	THA	Contributing family workers	4
Cassowary Coast (R)	THA	Employee	31
Cassowary Coast (R)	THA	Owner managers of unincorporated enterprises	8
Cassowary Coast (R)	GBR	Contributing family workers	7
Cassowary Coast (R)	GBR	Employee	307
Cassowary Coast (R)	GBR	Owner managers of incorporated enterprises	23
Cassowary Coast (R)	GBR	Owner managers of unincorporated enterprises	49
Cassowary Coast (R)	GBR	Status in employment not stated	3
Cassowary Coast (R)	USA	Employee	11
Cassowary Coast (R)	USA	Owner managers of incorporated enterprises	3
Cassowary Coast (R)	USA	Owner managers of unincorporated enterprises	3
Cassowary Coast (R)	ZWE	Employee	8
Central Highlands (R) (Qld)		Contributing family workers	17
Central Highlands (R) (Qld)		Employee	493
Central Highlands (R) (Qld)		Owner managers of incorporated enterprises	23
Central Highlands (R) (Qld)		Owner managers of unincorporated enterprises	27
Central Highlands (R) (Qld)		Status in employment not stated	18
Central Highlands (R) (Qld)	AUS	Contributing family workers	416
Central Highlands (R) (Qld)	AUS	Employee	11330
Central Highlands (R) (Qld)	AUS	Owner managers of incorporated enterprises	741
Central Highlands (R) (Qld)	AUS	Owner managers of unincorporated enterprises	837
Central Highlands (R) (Qld)	AUS	Status in employment not stated	147
Central Highlands (R) (Qld)	CAN	Employee	16
Central Highlands (R) (Qld)	CHN	Employee	16
Central Highlands (R) (Qld)	CHN	Owner managers of unincorporated enterprises	5
Central Highlands (R) (Qld)	HRV	Employee	3
Central Highlands (R) (Qld)	FJI	Employee	25
Central Highlands (R) (Qld)	DEU	Employee	30
Central Highlands (R) (Qld)	DEU	Owner managers of incorporated enterprises	3
Central Highlands (R) (Qld)	DEU	Owner managers of unincorporated enterprises	5
Central Highlands (R) (Qld)	GRC	Employee	3
Central Highlands (R) (Qld)	HKG	Employee	5
Central Highlands (R) (Qld)	HKG	Status in employment not stated	3
Central Highlands (R) (Qld)	IND	Employee	87
Central Highlands (R) (Qld)	IND	Status in employment not stated	3
Central Highlands (R) (Qld)	IDN	Employee	16
Central Highlands (R) (Qld)	IRL	Employee	30
Central Highlands (R) (Qld)	ITA	Employee	7
Central Highlands (R) (Qld)	MYS	Employee	6
Central Highlands (R) (Qld)	MYS	Owner managers of incorporated enterprises	3
Central Highlands (R) (Qld)	NLD	Employee	7
Central Highlands (R) (Qld)	NZL	Contributing family workers	10
Central Highlands (R) (Qld)	NZL	Employee	721
Central Highlands (R) (Qld)	NZL	Owner managers of incorporated enterprises	23
Central Highlands (R) (Qld)	NZL	Owner managers of unincorporated enterprises	19
Central Highlands (R) (Qld)	NZL	Status in employment not stated	22
Central Highlands (R) (Qld)	PAK	Employee	3
Central Highlands (R) (Qld)	PHL	Employee	197
