STE_NAME16	CountryOfBirth	EmploymentStatus	workers
Australian Capital Territory	GRC	Status in employment not stated	3
Australian Capital Territory	HKG	Contributing family workers	4
Australian Capital Territory	HKG	Employee	940
Australian Capital Territory	HKG	Owner managers of incorporated enterprises	63
Australian Capital Territory	HKG	Owner managers of unincorporated enterprises	37
Australian Capital Territory	IND	Contributing family workers	43
Australian Capital Territory	IND	Employee	6849
Australian Capital Territory	IND	Owner managers of incorporated enterprises	327
Australian Capital Territory	IND	Owner managers of unincorporated enterprises	190
Australian Capital Territory	IND	Status in employment not stated	48
Australian Capital Territory	IDN	Contributing family workers	3
Australian Capital Territory	IDN	Employee	637
Australian Capital Territory	IDN	Owner managers of incorporated enterprises	14
Australian Capital Territory	IDN	Owner managers of unincorporated enterprises	25
Australian Capital Territory	IDN	Status in employment not stated	4
Australian Capital Territory	IRN	Contributing family workers	3
Australian Capital Territory	IRN	Employee	422
Australian Capital Territory	IRN	Owner managers of incorporated enterprises	47
Australian Capital Territory	IRN	Owner managers of unincorporated enterprises	24
Australian Capital Territory	IRN	Status in employment not stated	3
Australian Capital Territory	IRQ	Employee	156
Australian Capital Territory	IRQ	Owner managers of incorporated enterprises	13
Australian Capital Territory	IRQ	Owner managers of unincorporated enterprises	26
Australian Capital Territory	IRL	Employee	482
Australian Capital Territory	IRL	Owner managers of incorporated enterprises	41
Australian Capital Territory	IRL	Owner managers of unincorporated enterprises	17
Australian Capital Territory	IRL	Status in employment not stated	5
Australian Capital Territory	ITA	Contributing family workers	20
Australian Capital Territory	ITA	Employee	576
Australian Capital Territory	ITA	Owner managers of incorporated enterprises	79
Australian Capital Territory	ITA	Owner managers of unincorporated enterprises	82
Australian Capital Territory	ITA	Status in employment not stated	7
Australian Capital Territory	JPN	Employee	363
Australian Capital Territory	JPN	Owner managers of incorporated enterprises	10
Australian Capital Territory	JPN	Owner managers of unincorporated enterprises	14
Australian Capital Territory	JPN	Status in employment not stated	6
Australian Capital Territory	LBN	Contributing family workers	8
Australian Capital Territory	LBN	Employee	156
Australian Capital Territory	LBN	Owner managers of incorporated enterprises	16
Australian Capital Territory	LBN	Owner managers of unincorporated enterprises	34
Australian Capital Territory	LBN	Status in employment not stated	3
Australian Capital Territory	MYS	Contributing family workers	9
Australian Capital Territory	MYS	Employee	1394
Australian Capital Territory	MYS	Owner managers of incorporated enterprises	72
Australian Capital Territory	MYS	Owner managers of unincorporated enterprises	68
Australian Capital Territory	MYS	Status in employment not stated	6
Australian Capital Territory	MLT	Employee	99
Australian Capital Territory	MLT	Owner managers of incorporated enterprises	10
Australian Capital Territory	MLT	Owner managers of unincorporated enterprises	14
Australian Capital Territory	MLT	Status in employment not stated	7
Australian Capital Territory	NLD	Contributing family workers	3
Australian Capital Territory	NLD	Employee	367
Australian Capital Territory	NLD	Owner managers of incorporated enterprises	22
Australian Capital Territory	NLD	Owner managers of unincorporated enterprises	29
Australian Capital Territory	NZL	Contributing family workers	24
Australian Capital Territory	NZL	Employee	3235
Australian Capital Territory	NZL	Owner managers of incorporated enterprises	153
Australian Capital Territory	NZL	Owner managers of unincorporated enterprises	160
Australian Capital Territory	NZL	Status in employment not stated	19
Australian Capital Territory	PAK	Contributing family workers	3
Australian Capital Territory	PAK	Employee	1025
Australian Capital Territory	PAK	Owner managers of incorporated enterprises	55
Australian Capital Territory	PAK	Owner managers of unincorporated enterprises	61
Australian Capital Territory	PAK	Status in employment not stated	9
Australian Capital Territory	PHL	Contributing family workers	14
Australian Capital Territory	PHL	Employee	2623
Australian Capital Territory	PHL	Owner managers of incorporated enterprises	46
Australian Capital Territory	PHL	Owner managers of unincorporated enterprises	39
Australian Capital Territory	PHL	Status in employment not stated	18
Australian Capital Territory	POL	Employee	442
Australian Capital Territory	POL	Owner managers of incorporated enterprises	36
Australian Capital Territory	POL	Owner managers of unincorporated enterprises	43
Australian Capital Territory	SGP	Contributing family workers	4
Australian Capital Territory	SGP	Employee	534
Australian Capital Territory	SGP	Owner managers of incorporated enterprises	19
Australian Capital Territory	SGP	Owner managers of unincorporated enterprises	25
Australian Capital Territory	ZAF	Contributing family workers	7
Australian Capital Territory	ZAF	Employee	1353
Australian Capital Territory	ZAF	Owner managers of incorporated enterprises	71
Australian Capital Territory	ZAF	Owner managers of unincorporated enterprises	56
Australian Capital Territory	ZAF	Status in employment not stated	4
Australian Capital Territory	KOR	Contributing family workers	19
Australian Capital Territory	KOR	Employee	1160
Australian Capital Territory	KOR	Owner managers of incorporated enterprises	117
Australian Capital Territory	KOR	Owner managers of unincorporated enterprises	71
Australian Capital Territory	KOR	Status in employment not stated	9
Australian Capital Territory	LKA	Contributing family workers	10
Australian Capital Territory	LKA	Employee	1774
Australian Capital Territory	LKA	Owner managers of incorporated enterprises	47
Australian Capital Territory	LKA	Owner managers of unincorporated enterprises	48
Australian Capital Territory	LKA	Status in employment not stated	4
Australian Capital Territory	THA	Contributing family workers	14
Australian Capital Territory	THA	Employee	743
Australian Capital Territory	THA	Owner managers of incorporated enterprises	32
Australian Capital Territory	THA	Owner managers of unincorporated enterprises	37
Australian Capital Territory	THA	Status in employment not stated	6
Australian Capital Territory	TUR	Employee	117
Australian Capital Territory	TUR	Owner managers of incorporated enterprises	11
Australian Capital Territory	TUR	Owner managers of unincorporated enterprises	12
Australian Capital Territory	TUR	Status in employment not stated	4
Australian Capital Territory	GBR	Contributing family workers	45
Australian Capital Territory	GBR	Employee	8361
Australian Capital Territory	GBR	Owner managers of incorporated enterprises	434
Australian Capital Territory	GBR	Owner managers of unincorporated enterprises	465
Australian Capital Territory	GBR	Status in employment not stated	37
Australian Capital Territory	USA	Contributing family workers	6
Australian Capital Territory	USA	Employee	1551
Australian Capital Territory	USA	Owner managers of incorporated enterprises	73
Australian Capital Territory	USA	Owner managers of unincorporated enterprises	75
Australian Capital Territory	USA	Status in employment not stated	8
Australian Capital Territory	VNM	Contributing family workers	40
Australian Capital Territory	VNM	Employee	1824
Australian Capital Territory	VNM	Owner managers of incorporated enterprises	102
Australian Capital Territory	VNM	Owner managers of unincorporated enterprises	134
Australian Capital Territory	VNM	Status in employment not stated	20
Australian Capital Territory	ZWE	Employee	457
Australian Capital Territory	ZWE	Owner managers of incorporated enterprises	17
Australian Capital Territory	ZWE	Owner managers of unincorporated enterprises	10
Australian Capital Territory	ZWE	Status in employment not stated	3
Other Territories		Contributing family workers	4
Other Territories		Employee	114
Other Territories		Owner managers of incorporated enterprises	10
Other Territories		Owner managers of unincorporated enterprises	20
Other Territories		Status in employment not stated	8
Other Territories	AUS	Contributing family workers	21
Other Territories	AUS	Employee	1435
Other Territories	AUS	Owner managers of incorporated enterprises	52
Other Territories	AUS	Owner managers of unincorporated enterprises	152
Other Territories	AUS	Status in employment not stated	36
Other Territories	CAN	Employee	4
Other Territories	CAN	Owner managers of unincorporated enterprises	3
Other Territories	CHN	Contributing family workers	3
Other Territories	CHN	Employee	24
Other Territories	CHN	Owner managers of incorporated enterprises	6
Other Territories	FJI	Employee	36
Other Territories	DEU	Employee	7
Other Territories	HKG	Employee	4
Other Territories	HKG	Owner managers of unincorporated enterprises	3
Other Territories	IND	Employee	14
Other Territories	IDN	Employee	9
Other Territories	IRN	Employee	3
Other Territories	IRL	Employee	4
Other Territories	MYS	Contributing family workers	10
Other Territories	MYS	Employee	235
Other Territories	MYS	Owner managers of incorporated enterprises	7
Other Territories	MYS	Owner managers of unincorporated enterprises	10
Other Territories	MYS	Status in employment not stated	6
Other Territories	NLD	Employee	4
Other Territories	NZL	Contributing family workers	10
Other Territories	NZL	Employee	185
Other Territories	NZL	Owner managers of incorporated enterprises	10
Other Territories	NZL	Owner managers of unincorporated enterprises	62
Other Territories	NZL	Status in employment not stated	8
Other Territories	PAK	Employee	3
Other Territories	PHL	Employee	36
Other Territories	PHL	Owner managers of unincorporated enterprises	3
Other Territories	POL	Employee	4
Other Territories	SGP	Employee	29
Other Territories	SGP	Owner managers of unincorporated enterprises	4
Other Territories	ZAF	Employee	19
Other Territories	ZAF	Owner managers of incorporated enterprises	4
Other Territories	THA	Employee	20
Other Territories	GBR	Contributing family workers	4
Other Territories	GBR	Employee	106
Other Territories	GBR	Owner managers of incorporated enterprises	8
Other Territories	GBR	Owner managers of unincorporated enterprises	15
Other Territories	GBR	Status in employment not stated	3
Other Territories	USA	Employee	9
Other Territories	USA	Owner managers of unincorporated enterprises	4
Other Territories	VNM	Employee	3
Other Territories	ZWE	Employee	4
